"time","S","E","I","R"
0.435,0.12185682650138079,0.0179141934074615,0.07312419401929383,0.7871047860718638
0.44,0.12243276499264164,0.016656687756925706,0.068254278366557,0.7926562688838756
0.445,0.12324893579775578,0.015514826288582936,0.06369187196530988,0.7975443659483514
0.45,0.12428378258338235,0.014476654253004715,0.05942701184217547,0.8018125513214375
0.455,0.12551790632662782,0.013531398074007304,0.05544791640479566,0.8055027791945693
0.46,0.12693381754726396,0.01266939713781042,0.051741530953490905,0.8086552543614347
0.465,0.12851571814278345,0.011882022648202662,0.048293984201261846,0.811308275007752
0.47,0.13024930984872476,0.011161590260185511,0.04509096404224526,0.8134981358488445
0.475,0.13212162638063135,0.010501271359278294,0.04211802148453709,0.8152590807755532
0.48,0.13412088646249892,0.0098950063810405,0.03936081176947301,0.8166232953869875
0.485,0.13623636516013413,0.009337422418035637,0.03680528140757937,0.8176209310142508
0.49,0.13845828118234277,0.008823756488724403,0.03443780930829272,0.81828015302064
0.495,0.14077769806547527,0.008349785195561673,0.03224530947192894,0.8186272072670341
0.5,0.14318643740300444,0.00791176103321708,0.030215301927395626,0.8186864996363828
0.505,0.1456770025127588,0.007506355283391544,0.02833595779493598,0.8184806844089136
0.51,0.14824251114550496,0.007130607217274168,0.026596123569299582,0.8180307580679212
0.515,0.15087663602781815,0.006781879193224905,0.024985328980946526,0.8173561557980104
0.52,0.15357355219944008,0.006457817164020869,0.023493782116574498,0.8164748485199644
0.525,0.1563278902515366,0.006156316077817406,0.022112354873099344,0.8154034387975465
0.53,0.15913469469900823,0.005875489656585025,0.02083256128342678,0.8141572543609799
0.535,0.16198938682915662,0.005613644055124703,0.019646530786385782,0.8127504383293328
0.54,0.16488773146254862,0.0053692549353493105,0.01854697811308748,0.8111960354890145
0.545,0.16782580714179077,0.005140947528898598,0.01752717112232594,0.8095060742069846
0.55,0.1707999793319538,0.004927479302464205,0.0165808976323308,0.8076916437332511
0.555,0.1738068762742366,0.004727724881784254,0.01570243205888853,0.8057629667850905
0.56,0.17684336718361468,0.004540662930377298,0.014886502474374369,0.8037294674116335
0.565,0.17990654252298505,0.004365364716644592,0.014128258542738501,0.8015998342176317
0.57,0.18299369612183156,0.004200984137382345,0.013423240656606912,0.799382079084179
0.575,0.18610230893765967,0.004046748996755088,0.01276735049957331,0.7970835915660117
0.58,0.18923003428422042,0.0039019533673621265,0.012156823175218044,0.7947111891731992
0.585,0.19237468437255836,0.0037659508843059077,0.011588200980687404,0.7922711637624481
0.59,0.195534218029772,0.0036381488443608606,0.011058308853611578,0.7897693242722553
0.595,0.1987067294765628,0.003518003000710181,0.010564231484015111,0.7872110360387117
0.6,0.20189043805858917,0.003405012959553545,0.010103292055386709,0.7846012569264703
0.605,0.20508367883868167,0.0032987180984789762,0.009673032559307003,0.781944570503532
0.61,0.20828489396740815,0.003198693938113789,0.009271195614390285,0.7792452164800875
0.615,0.21149262475854527,0.0031045489084801183,0.00889570771146613,0.7765071186215082
0.62,0.21470550440392,0.0030159214599143535,0.008544663801834787,0.7737339103343306
0.625,0.21792225126900103,0.002932477475576331,0.008216313143203056,0.7709289581122193
0.63,0.2211416627166893,0.002853907948658398,0.007909046317840595,0.7680953830168114
0.635,0.2243626094120982,0.0027799268925679053,0.007621383339025887,0.7652360803563076
0.64,0.22758403006582767,0.002710269456739102,0.007351962764527856,0.762353737712905
0.645,0.2308049265774099,0.002644690224451869,0.00709953173933993,0.759450851458798
0.65,0.23402435954430587,0.002582961672197889,0.00686293689387203,0.7565297418896239
0.655,0.2372414441051263,0.0025248727728269323,0.006641116028099354,0.7535925670939471
0.66,0.2404553460886867,0.002470227727000817,0.0064330905166021845,0.75064133566771
0.665,0.24366527844313113,0.0024188448094426564,0.0062379583738862016,0.7476779183735397
0.67,0.24687049792170745,0.002370555318146734,0.006054887923757893,0.7447040588363876
0.675,0.2500703020038868,0.0023252026161539024,0.005883112020780179,0.7417213833591788
0.68,0.2532640260324114,0.0022826412567357878,0.00572192277590473,0.7387314099349478
0.685,0.25645104054856205,0.002242736183899404,0.005570666742240517,0.7357355565252978
0.69,0.25963074880947234,0.002205362001047993,0.005428740520555748,0.7327351486689236
0.695,0.2628025844727038,0.002170402301435898,0.0052955867475143375,0.7297314264783457
0.7,0.26596600943455095,0.002137749054753259,0.0051706904328169805,0.7267255510778785
0.705,0.26912051180967933,0.0021073020447856883,0.005053575614354412,0.7237186105311803
0.71,0.27226560404072836,0.0020789683536276667,0.0049438023031934475,0.7207116253024503
0.715,0.27540082112744196,0.00205266188839708,0.004840963692714638,0.717705553291446
0.72,0.2785257189657377,0.002028302946811164,0.004744683608514757,0.714701294478936
0.725,0.28163987278789243,0.0020058178183488683,0.004654614177790048,0.7116996952159683
0.73,0.28474287569572265,0.0019851384180478125,0.004570433698839528,0.7087015521873896
0.735,0.287834337279273,0.001966201950271029,0.004491844693084398,0.7057076160773712
0.74,0.2909138823141053,0.0019489506000343753,0.004418572123601851,0.7027185949622581
